num_items_queried,training_size_mean,proportion_positives_mean,precision_mean,recall_mean,fbeta_mean,loss_mean,training_size_median,precision_median,recall_median,fbeta_median,loss_median,training_size_std,precision_std,recall_std,fbeta_std,loss_std,sampling_strategy
1810.0,1045.1,0.3326954347383724,0.7293616410839477,0.7602809154570578,0.7561587073035347,0.4774057465305456,1046,0.7181559751611183,0.7852459016393443,0.7754201366870221,0.44016454145304157,1.449137674618922,0.09916288532856467,0.08911135616833633,0.08544135402254809,0.16169656797941176,random_sampling
1860.0,1075.1,0.3327132349629465,0.7260709378071086,0.7607721821255132,0.7562988457666748,0.47734738699221524,1076,0.7069511712205672,0.7836065573770492,0.7773036573678553,0.43899980563772395,1.449137674618922,0.09779713277822687,0.08889377587794878,0.08519760871876193,0.1612348216387174,random_sampling
1910.0,1105.1,0.33273006874232525,0.7277625556652116,0.7584771001583,0.7544351544160429,0.48077831249236846,1106,0.7036133988736613,0.7811475409836066,0.7748216962464138,0.4439431453973609,1.449137674618922,0.09602948467652292,0.08664582314368846,0.0830273055031775,0.1570170302373321,random_sampling
1960.0,1135.1,0.332746012704648,0.7310179326555291,0.7565077406026133,0.7530903928380968,0.48328082375745957,1136,0.7028834310913585,0.780327868852459,0.7769646277547412,0.43987274430230117,1.449137674618922,0.10024903338848035,0.08514567666941301,0.0824052339065894,0.1566979853823907,random_sampling
2010.0,1165.1,0.3327611355856461,0.7317151748146216,0.7576523302299376,0.7542306929170876,0.48118839241123157,1166,0.709054834054834,0.7786885245901639,0.7763316810438078,0.4378999418266434,1.449137674618922,0.09892636755374709,0.0802587210783265,0.07770384146951022,0.14813300725328946,random_sampling
2060.0,1195.1,0.33277549921924726,0.7373724992709997,0.7547033886936224,0.7520584389110156,0.4849098212854863,1196,0.7058997911578351,0.7778688524590164,0.7706887525531698,0.45165048080558345,1.449137674618922,0.10238976856131372,0.08195582853911257,0.07947519190272342,0.15117782398666701,random_sampling
2110.0,1225.1,0.3327891593826323,0.7364739315847728,0.7574900056344075,0.7544698032616018,0.4804606335883686,1226,0.7018845384741903,0.7795081967213114,0.7738906453252471,0.44583411780248494,1.449137674618922,0.1047932487697739,0.08257103285149407,0.08019489213142979,0.15280644153621087,random_sampling
2160.0,1255.1,0.3328021665200969,0.7360882451882642,0.7560180837648575,0.753014463399172,0.4830766252866245,1256,0.7046470237551294,0.7764132972015776,0.7745128800476924,0.44379910755744467,1.449137674618922,0.1034076383334405,0.08580538904597391,0.08273286325459968,0.15700536004960322,random_sampling
2210.0,1285.1,0.33281456636552403,0.7373239398412564,0.7555238657401196,0.7527970760255631,0.483483965277449,1286,0.7071483055464749,0.7786885245901639,0.7725510600307612,0.44830593569535093,1.449137674618922,0.10246960753488764,0.0835392846930316,0.08094644528998536,0.15407863394658072,random_sampling
2260.0,1315.1,0.33282640047965517,0.7371932938973546,0.7615883662901451,0.7581824043659958,0.47327776345739253,1316,0.7080357142857143,0.7836065573770492,0.7769664834362993,0.4363001745200698,1.449137674618922,0.10494841435237182,0.08581948302448919,0.08296972892705004,0.157903413826134,random_sampling
