num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,fn_count_mean,fp_count_mean,precision_median,recall_median,f_beta_median,loss_median,fn_count_median,fp_count_median,precision_std,recall_std,f_beta_std,loss_std,fn_count_std,fp_count_std,sampling_strategy
210,0.5189158189591654,0.6209486166007894,0.6006523933810793,0.48945960526907256,8.6,14.2,0.5263157894736842,0.5217391304347826,0.5357142857142857,0.5128205128205128,11.0,16.0,0.1147731876457182,0.18949354376801775,0.1611326918789862,0.15047728313887193,4.230357522112083,6.441246398983185,objective_aware_sampling
220,0.5381720285368174,0.611857707509882,0.6009136244538947,0.4793490586301797,8.8,12.0,0.5588235294117647,0.5652173913043478,0.5752212389380531,0.47863247863247865,10.0,12.0,0.11266462430341169,0.17171407106259137,0.1581546395265647,0.1632817974230705,3.7689647837836433,3.2915642033019195,objective_aware_sampling
230,0.5397248146590274,0.6292490118577078,0.6156459791705142,0.4656735951884995,8.4,12.4,0.5428571428571428,0.6086956521739131,0.6194690265486726,0.42735042735042733,9.0,14.0,0.12582476668509981,0.1791865592757711,0.16429685546166628,0.16949047947470666,3.935729619465806,3.8324115959506098,objective_aware_sampling
240,0.5183926218708852,0.6470355731225271,0.6297097506290105,0.45887819888404435,8.0,13.6,0.5757575757575758,0.6521739130434783,0.6521739130434783,0.41025641025641024,8.0,14.0,0.11685022704415958,0.18289679475475834,0.17063553301917067,0.18789228877006753,4.056346554280222,3.504320641421778,objective_aware_sampling
250,0.5039707419017769,0.682213438735177,0.6583166261064418,0.4366412404401869,7.2,15.0,0.5714285714285714,0.6956521739130435,0.6808510638297872,0.4017094017094017,7.0,15.0,0.09937654358009049,0.17231457516073634,0.16054583032370398,0.17973391260705096,3.822132343623637,2.2841609628806436,objective_aware_sampling
260,0.4864737005913483,0.6292490118577069,0.608796783398499,0.4844188184047921,8.4,14.6,0.5,0.6956521739130435,0.6837606837606837,0.39316239316239315,7.0,15.0,0.08415600440454328,0.19540427853517545,0.17725004123356036,0.17890138961044708,4.324742924214595,2.657808416389577,objective_aware_sampling
270,0.47980973980974084,0.655335968379445,0.6297891286650193,0.4673395375324066,7.8,15.6,0.5,0.6956521739130435,0.6751054852320674,0.4188034188034188,7.0,14.0,0.06459517793479401,0.18985981021565437,0.16961645020959626,0.16736889951307038,4.173735641383178,2.0626854535475823,objective_aware_sampling
280,0.5183245514422006,0.6466403162055329,0.6282632335723707,0.45708287750953097,8.0,13.4,0.5135135135135135,0.7391304347826086,0.7327586206896552,0.3247863247863248,6.0,13.0,0.1004483336522422,0.1908078726351012,0.17435353532415962,0.1765551359369326,4.202614880165194,3.267639023627365,objective_aware_sampling
290,0.5344679285855806,0.63794466403162,0.6222477555566043,0.4588639621953477,8.2,12.6,0.5588235294117647,0.6956521739130435,0.6986899563318777,0.3504273504273504,7.0,15.0,0.1220090457681869,0.20476540424992806,0.18825567505721436,0.19578007433342393,4.5424323612215085,4.037103898254869,objective_aware_sampling
300,0.5562605941181487,0.6557312252964391,0.6422197111042025,0.43301887734967925,7.8,11.6,0.5625,0.7391304347826086,0.7264957264957266,0.3418803418803419,6.0,11.0,0.05457498501569927,0.16207239930405118,0.14791766537602855,0.1447522069213485,3.5504703091362986,1.6277699581010667,objective_aware_sampling
