num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,precision_median,recall_median,f_beta_median,loss_median,precision_std,recall_std,f_beta_std,loss_std,sampling_strategy
1770,0.40473732480278585,0.19371468926553628,0.20297604431109575,0.426039532198046,0.44529914529914527,0.1977401129943503,0.20695556651363936,0.42848837209302326,0.1459482050294159,0.08040274686024068,0.08309560854156238,0.03697352743040623,uncertainty_sampling
1820,0.3899883810110558,0.1977433230611193,0.2062192294745263,0.42528086868851983,0.41383219954648526,0.19838212634822805,0.20633607902520976,0.42977334375042275,0.14488997531306558,0.09011535627434947,0.09205185892847825,0.04107066690520908,uncertainty_sampling
1870,0.3789130473063303,0.21643233179250107,0.2241469544792514,0.4175173974486836,0.40003998400639745,0.23011363636363635,0.23898960446247464,0.41422414667803076,0.13408533747619147,0.10200261640799518,0.10341481388822363,0.045871290479132174,uncertainty_sampling
1920,0.38358518976731515,0.2175462249614783,0.2259091300297056,0.41635511414563814,0.42323232323232324,0.2401129943502825,0.2492829642792054,0.40886627906976747,0.13572959653365144,0.09732636726862011,0.09953382763296637,0.04473456941798591,uncertainty_sampling
1970,0.38358702429826047,0.22035182331792527,0.2286121611387387,0.4154254313354955,0.41867816091954024,0.2457627118644068,0.2546971706454465,0.4069767441860465,0.13778152071323152,0.09375983113025511,0.0958564858446176,0.0424944309859886,uncertainty_sampling
2020,0.36770129980524896,0.23560285053929067,0.24321264354987962,0.40999011188264073,0.3885238095238095,0.27760657421674373,0.2871400468283011,0.3911337209302326,0.14064963245011095,0.09273865370574942,0.09508785043194032,0.04230180605740285,uncertainty_sampling
2070,0.3630213908773014,0.24859399075500907,0.25483832859169714,0.4053679767076263,0.39711302211302213,0.25284090909090906,0.2646853029232684,0.39543339150668994,0.1407633517100001,0.10029607746057188,0.10076250573007388,0.04374642077680077,uncertainty_sampling
2120,0.3760443889966286,0.24578839239856048,0.2527797389291834,0.40574503809714335,0.4142146017699115,0.26060927067283,0.2720114736008599,0.39371812302988485,0.14630613473434295,0.09449898811199926,0.0956569654800979,0.04151191444004217,uncertainty_sampling
2170,0.37736043003787545,0.2435606060606065,0.25125449026234065,0.4062957994363311,0.41410495264710445,0.2655367231638418,0.27448900261925624,0.3951724569449518,0.14531048522485343,0.08796193909758616,0.09061641714196152,0.04009471584061954,uncertainty_sampling
2220,0.3812346913323385,0.23000128402670744,0.238447371270381,0.41149911025177605,0.4255396204548747,0.2401129943502825,0.24912542578515723,0.40828488372093025,0.14157282250549677,0.08425389383003408,0.08724879132307782,0.03882401651855736,uncertainty_sampling
2270,0.37963071406235976,0.2345467385721626,0.24274807313371605,0.40946294978799674,0.41559220389805096,0.2542372881355932,0.2627123228389051,0.4037790697674418,0.13853864794097706,0.09030260491680817,0.09291207506725471,0.041589582954371644,uncertainty_sampling
2320,0.37982470693491693,0.24924242424242557,0.25690196034047336,0.4030381337216009,0.406891495601173,0.2768361581920904,0.28516295649643536,0.39069767441860465,0.13944809360586366,0.09527539497906667,0.09745639175833398,0.043255274985258774,uncertainty_sampling
2370,0.39222467368979624,0.24864214175654847,0.25690069459699244,0.4023996136074665,0.42071031236628154,0.268361581920904,0.2772551050348352,0.393136812235345,0.14275101451659505,0.09040161906377134,0.09292221903304204,0.04078356247776656,uncertainty_sampling
2420,0.3766109477267499,0.24415446841294336,0.252042693422164,0.405567372671399,0.3905764966740577,0.2627118644067796,0.2704828773472913,0.4010174418604651,0.141231701479212,0.09059525533431417,0.0933574642543983,0.04175166364973774,uncertainty_sampling
2470,0.36706563146394616,0.2464047252182849,0.25391411145830306,0.40507365167597975,0.381101268021539,0.2634180790960452,0.2709030297484276,0.4001175304733688,0.13353079495242248,0.09357271628954107,0.09606848557133975,0.043045958687015176,uncertainty_sampling
2520,0.386543462706744,0.24471944016435535,0.2530374246301091,0.40425848067456854,0.41349661281917666,0.2655367231638418,0.27361891877508604,0.39898255813953487,0.13628840296386183,0.09200417605993277,0.094643876013949,0.04226850691256285,uncertainty_sampling
